filename,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,spectral_flatness,bpm
Strange Arrival - Veiled Machine.flac,2407.0010486704787,2507.2882597566954,20.38454672606503,5308.498638148479,0.031327758,151.99908088235293
"t+pazolite - Cheatreal #TPZREMAKE - 1.t+pazolite - Cheatreal #TPZREMAKE-3hPf(Av247499138,P1).mp3",3100.499260539998,2768.374983606976,20.27852848663329,6425.967003891446,0.059821825,99.38401442307692
"Toby Fox - MEGALOVANIA (Camellia Remix) - 1.videoplayback_Mux(Av67778046,P1).mp3",3075.793032710814,2674.9139773018633,20.847351027758222,6279.769988808605,0.07389697,123.046875
"USAO - Big Daddy - 1.USAO - Big Daddy(Av53583384,P1).mp3",2931.040838351293,2773.963178407097,19.842120369551964,6291.922392983638,0.07258471,95.703125
"USAO-WildFire - 1.USAO-WildFire(Av507336583,P1).mp3",3344.442402179358,2936.6095895856347,19.769338642163916,6973.165567025219,0.07699389,103.359375
Wavolizer - Frustration.flac,2612.3544468578148,2599.4716296151014,20.433006135511572,5710.453567146083,0.04401631,172.265625
"[Afflict] Determination feat.棗いつき - Laur - 1.Laur - Determination feat.棗いつき(Av718955077,P1).mp3",2733.884847267672,2633.5683177073142,22.009699231148048,5692.6049410808155,0.03686163,161.4990234375
"[A]ddiction _ GigaReol×EVO+ - 1.1(Av3232086,P1).mp3",3073.7734345152203,2866.1232815490443,21.36895873018899,6562.607974166617,0.06212861,161.4990234375
"[Bassline Yatteru LOL] ベースラインやってる？笑 - Camellia (Fe - 1.繁体中文字幕(Av48101721,P1).mp3",3027.128876901307,2718.7176500575065,21.85124003259388,6269.8826834336605,0.056120247,129.19921875
"[まどそふと] 【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式・FULL】 ボーカル：ヒ - 1.【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式・FULL】 ボー(Av692661650,P1).mp3",2750.9626372141206,2684.6750414429516,22.597416154401607,5810.237180593923,0.041165736,135.99917763157896
"[碧蓝档案]兔兔小队OST113 - 1.[Blue Archive] Theme 113(Av768194583,P1).mp3",2987.5674374153223,2714.1596113128517,21.62457471808818,6226.3477446873285,0.06558377,172.265625
"▶︎少女レイ (cover) _兔子[めありー] - 1.少女レイ20180727youtubemst(Av32538951,P1).mp3",2485.678747813613,2625.558583537793,22.430481590450867,5355.039206836923,0.023979938,151.99908088235293
"「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉａｌ - 1.「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉ(Av378294129,P1).mp3",1885.6778280964152,2113.7243714077003,22.191580374641163,4172.90713804792,0.016415583,143.5546875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 1.小熊（Song by Koresawa）索尔缇娜（南条爱乃）(Av300361986,P1).mp3",1770.1116276514922,2162.520285088129,23.81723992158028,3679.7740199422196,0.026064511,151.99908088235293
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 10.篝火（Song by konoco）琳恩（村上奈津实）(Av300361986,P10).mp3",2333.185589358777,2623.5690582588786,23.551233516871765,5200.376037753226,0.018972982,103.359375
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 2.Ⅶ. THE RUST（Song by 茅原实里）A.A.（茅原实里）(Av300361986,P2).mp3",2053.059305526488,2414.9264849859987,24.21505630944481,4292.811239451966,0.014286792,103.359375
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 3.X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）(Av300361986,P3).mp3",2265.6686412678873,2484.982282471951,23.555720520456155,4872.156839100456,0.030369446,161.4990234375
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 33.红洋装（Song by 叶月由罗）艾薇（古贺葵）(Av300361986,P33).mp3",2770.1487105997567,2661.871287408836,23.047527450431705,5852.254256202665,0.038682435,123.046875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 39.Dokie Doggy Night（Song by alfakyun） 墨(Av300361986,P39).mp3",2686.0503534714057,2464.832315388905,23.45860227342471,5306.299137163765,0.04009832,123.046875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 41.热情的埃达（Song by Mewhan）索尼娅（五十岚裕美）(Av300361986,P41).mp3",2473.337333972845,2688.7400282722024,22.486325325312936,5536.595667718776,0.02507268,129.19921875
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 7.今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）(Av300361986,P7).mp3",1923.3673657554943,2167.4883035860485,25.248058481385083,3855.207623880566,0.012070942,172.265625
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 8.困惑星旅行（Song by 芹泽优）妮娜（芹泽优）(Av300361986,P8).mp3",2020.844146235256,2410.8192810879605,24.144075211068113,4626.003502360105,0.013724796,143.5546875
"「不埒な喝采」  covered by 跳亜【cc字幕】 - 1.【歌ってみた】「不埒な喝采」  covered by 跳亜(Av810542096,P1).mp3",2334.9420938703242,2520.8249434351387,23.60264246286046,5292.902472325627,0.10280817,161.4990234375
"「吉他与孤独与蓝色星球」第五集live部分插曲—結束バンド【孤独摇滚】 - 1.ギターと孤独と蒼い惑星(Av562317092,P1).mp3",2257.6593503828185,2265.5626165525714,22.41718274349742,4524.165424350437,0.01715819,95.703125
"「有什么不好」—結束バンド【孤独摇滚】 - 1.【中日歌词_完整版】孤独摇滚ED3「有什么不好」—結束バンド【孤独摇滚】(Av475500353,P1).mp3",2249.4073427958406,2217.1272828458277,23.281016479206517,4566.343405840956,0.021373857,123.046875
"「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12(Av521724987,P1).mp3",2602.347047190429,2530.683723921173,21.76959296398496,5257.803227026123,0.030077573,92.28515625
"「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第1(Av221640134,P1).mp3",2723.043813115581,2696.765138026216,22.083343514503817,5705.704064173598,0.033469934,123.046875
"『MAD 中日歌詞』 劇場版 遊戲人生 Zero 主題曲： THERE IS A REASON -  - 1.1(Av16040894,P1).mp3",2052.2992680939838,2267.8930561268194,24.34697659878696,4252.649297328964,0.014507329,135.99917763157896
"『中日歌詞付き』 譚雅戦記ED1 FULL - Los! Los! Los! - 悠木碧 - 1.『Lyrics Video - 中日歌詞付き』 幼女戦記 Youjo Sen(Av9081138,P1).mp3",2290.8773267547995,2267.301299932611,21.387004957291385,4591.369812696043,0.038585767,117.45383522727273
"『音击』ONGEKI Sound Collection 06「Transcend Lights」／赤 - 1.01.Transcend Lights(Av379997392,P1).mp3",2975.9206200180834,2818.225422483823,22.23857880649295,6425.149133041957,0.057152104,103.359375
"【Arcaea】C-Show - GIMME DA BLOOD - 1.【Arcaea】C-Show - GIMME DA BLOOD(Av972121198,P1).mp3",3015.200725224776,2864.9882646874185,19.73954709681735,6572.126902762253,0.071979165,112.34714673913044
"【BGA】 彁 - LeaF - 1.彁(Av247469165,P1).mp3",2425.2753547207462,2605.7297631183787,22.99041256095609,5364.96352521377,0.03773464,107.666015625
"【BOFU2016】Alice in Misanthrope - LeaF - 1.【BOFU2016】 Alice in Misanthrope -厭世アリス(Av7761098,P1).mp3",2716.288765033778,2751.433753972773,21.532433423416215,6062.407674889242,0.038912717,172.265625
"【BOFU2017】 Lyrith -迷宮Lilith- 【FRENZ2017】 - 1.1(Av15249569,P1).mp3",2604.7051114361907,2573.069170635635,22.137292430931556,5620.297437368424,0.052231956,89.10290948275862
【BOFXVII】 Lidelle x Sobrem x Sennzai - self-dissociation【BGA】.flac,2550.521765419807,2646.2273042793877,21.39058316693718,5618.670615511728,0.03586738,95.703125
【BOFXVII】saaa ft. MC iwata Bros. - Head BONK ache【BGA】.wav,2845.941764666393,2846.3220909805846,19.80137893804917,6363.202875530143,0.04699089,161.4990234375
【BOFXVI】Angel's Salad【BGA】.flac,2404.353668369442,2562.8266852213455,19.228822775693956,5307.371368288714,0.05173945,117.45383522727273
"【BOF_ET】Sobrem - slic.hertz - 1.video_20221003_083035_edit(Av516191809,P1).mp3",2724.7710447397517,2673.2710117110787,20.86753820086959,5820.2688539127785,0.043415163,143.5546875
"【BSWC 2022 Grand Finals Tiebreaker】Kry.exe feat. I - 1.【BSWC 2022 Grand Finals Tiebreaker】Kry(Av514682052,P1).mp3",3275.2374065985964,2875.3776998876797,20.684444832142248,6810.747249014247,0.06782819,117.45383522727273
"【cc字幕】透明な呼吸  somunia × ヰ世界情緒 - 1.透明な呼吸  somunia × ヰ世界情緒(Av287181202,P1).mp3",2236.0226950811557,2641.4740739929903,22.793862758688654,5068.916015625,0.029637463,161.4990234375
"【flower】猛毒【かいりきベア】 - 1.ベノム _ flower - niconico動畫(Av28356844,P1).mp3",2395.3828338042063,2275.4568619646184,22.239739263449522,4629.798614533339,0.045012355,151.99908088235293
"【FRENZ2013】 B.B.K.K.B.K.K. 【BOF2013】 - 1.1(Av770385,P1).mp3",3443.6833799952365,2862.078324004428,21.259161768308836,6922.8646126859785,0.0799121,172.265625
"【Full MV】逆行して逃避行 - BlackY feat. Risa Yuzuki - 1.【Full MV】逆行して逃避行 _ Risa Yuzuki(Av501639085,P1).mp3",2773.3234260620584,2525.6234270719574,23.332040959436195,5531.73308611284,0.03486571,135.99917763157896
"【Giga & KIRA】GETCHA!【本家演唱 ver.】 - 1.Giga & KIRA - GETCHA! (Self Cover ver.(Av754722305,P1).mp3",2727.3103662002122,2678.5072449436543,21.593050686390637,5846.145091989703,0.029394744,129.19921875
"【Giga · q_Left】G4L (完整版)【YouTube Music ver.】 - 1.G4L(Av673284810,P1).mp3",2731.0124190966058,2569.003466648935,21.817953330059762,5795.5371509094275,0.03358735,143.5546875
"【Giga】CH4NGE【本家演唱／中文CC字幕】 - 1.Giga - CH4NGEをうたいました (Self Cover) [MCY(Av295162306,P1).mp3",2997.6015576419118,2766.6072970825007,21.714763648092564,6343.368053878477,0.044160124,117.45383522727273
"【Mili】Ga1ahad and Scientific Witchery （加拉哈德1号与科学性巫 - 1.1(Av3838286,P1).mp3",1783.0003786474742,2307.061973492108,23.52963837683395,4002.2599692565955,0.0069370773,83.35433467741936
"【Mili】Vitamins--  Mili feat World s end girlfriend - 1.Vitamins--Mili feat World s end girlfr(Av38560371,P1).mp3",2227.020169957376,2409.0315088105904,23.35159599568555,4717.504136696083,0.022008872,95.703125
"【MV】Löschen (Long ver.) - BlackY feat. Risa Yuzuki - 1.[Risa Yuzuki] Loschen_FIX(Av722907250,P1).mp3",2936.834856907937,2697.2556930244887,22.56417686413427,6052.758347844503,0.042366043,123.046875
"【Official Audio】Duplicity Shade _ HyuN feat. Sennz - 1.tst(Av642129802,P1).mp3",2809.1409707013163,2587.95457375117,21.62714696855363,5687.25363966748,0.049269322,112.34714673913044
"【OWC2021 Grand Finals Tiebreaker】Yooh - RPG - 1.[osu!] Yooh - RPG (OWC2021 Grand Final(Av634326949,P1).mp3",3286.272927509233,2955.306106786818,20.264877757070447,6980.257770377146,0.0742038,107.666015625
